gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2246867622	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75288041	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.58303	11.91372	5.0						2018-09-03	3	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75288041				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T18:57:07.753Z		
2246867617	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287748	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.57243	11.91448	5.0						2018-09-04	4	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287748				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T18:56:47.854Z		
2246867616	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287895	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.58495	11.90241	5.0						2018-09-04	4	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287895				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T19:03:27.783Z		
2246867614	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287814	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.57162	11.92444	5.0						2018-09-04	4	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287814				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T19:06:11.337Z		
2246867612	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75288018	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.58329	11.9297	5.0						2018-09-03	3	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75288018				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T19:07:34.390Z		
2246867609	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287876	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.57584	11.92237	5.0						2018-09-04	4	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287876				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T19:00:06.410Z		
2246867601	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287875	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.57587	11.9218	5.0						2018-09-04	4	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287875				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T18:57:24.684Z		
2246867600	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287688	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.56681	11.92297	5.0						2018-09-06	6	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287688				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T19:01:02.468Z		
2246867596	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287787	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.57001	11.9326	5.0						2018-09-04	4	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287787				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T19:01:02.469Z		
2246867595	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75288056	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.58469	11.9169	5.0						2018-09-03	3	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75288056				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T18:59:14.004Z		
2246867594	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287887	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.58797	11.90004	5.0						2018-09-04	4	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287887				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T19:01:09.617Z		
2246867591	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287871	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.57501	11.92238	5.0						2018-09-04	4	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287871				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T18:59:58.221Z		
2246867587	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287659	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.56617	11.90803	5.0						2018-09-06	6	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287659				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T18:57:26.583Z		
2246867586	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287828	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.57344	11.93163	5.0						2018-09-04	4	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287828				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T18:55:35.315Z		
2246867584	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287885	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.5874	11.90028	5.0						2018-09-04	4	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287885				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T19:02:01.514Z		
2246867580	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287474	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Brännö-Styrsö_Äng1_32, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.63269	11.78835	5.0						2018-09-05	5	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287474				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T19:00:03.047Z		
2246867579	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287766	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.57086	11.91461	5.0						2018-09-04	4	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287766				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T19:00:03.760Z		
